MEMBER_ID	LOGIN_DATE	LOGIN_BOUNS
1	2014/5/21 09:39:47	1
1	2014/5/22 09:40:02	2
2	2014/5/20 09:42:22	1
2	2014/5/21 09:42:30	2
3	2014/5/23 02:22:41	1
3	2014/5/25 21:46:19	1
3	2014/5/25 21:47:34	1
3	2014/5/26 19:37:07	1
3	2014/5/26 19:44:30	1
3	2014/5/28 04:16:05	2
3	2014/5/28 04:16:15	2
3	2014/5/28 04:17:08	2
3	2014/5/28 04:17:40	2
3	2014/5/28 04:31:58	2
3	2014/5/28 04:32:29	2
3	2014/5/28 22:05:13	2
3	2014/5/28 22:18:29	2
3	2014/5/28 22:19:26	2
3	2014/5/28 23:54:08	2
3	2014/5/28 23:57:13	2
3	2014/5/29 00:01:53	2
3	2014/5/29 00:03:46	2
3	2014/5/29 00:04:09	2
3	2014/5/29 00:05:38	2
3	2014/5/29 00:35:07	2
3	2014/5/29 00:41:44	2
3	2014/5/29 00:43:49	2
3	2014/5/29 00:44:07	2
3	2014/5/29 00:59:18	2
3	2014/5/29 01:16:56	2
3	2014/5/29 01:16:59	2
3	2014/5/29 01:19:31	2
3	2014/5/29 01:23:42	2
3	2014/5/29 01:27:04	2
3	2014/5/29 01:30:27	2
3	2014/5/29 01:35:58	2
3	2014/5/29 01:39:16	2
3	2014/5/29 01:49:35	2
3	2014/5/29 01:49:53	2
3	2014/5/29 01:56:01	2
3	2014/5/29 01:57:51	2
3	2014/5/29 02:22:25	2
3	2014/5/29 02:22:26	2
3	2014/5/29 02:22:27	2
3	2014/5/29 02:27:18	2
3	2014/5/29 02:56:25	2
3	2014/5/29 02:58:36	2
3	2014/5/29 03:00:57	2
3	2014/5/29 03:05:48	2
3	2014/5/29 03:08:49	2
3	2014/5/29 03:11:19	2
3	2014/5/29 03:44:44	2
3	2014/5/29 03:44:51	2
3	2014/5/29 03:45:05	2
3	2014/5/29 03:45:32	2
3	2014/5/29 03:45:40	2
3	2014/5/29 03:45:51	2
3	2014/5/29 04:02:26	2
3	2014/5/29 04:02:40	2
3	2014/5/29 04:02:41	2
3	2014/5/29 04:03:24	2
3	2014/5/29 04:04:22	2
3	2014/5/29 04:04:33	2
3	2014/5/29 04:05:47	2
3	2014/5/29 19:41:27	2
3	2014/5/29 19:44:41	2
15	2014/5/28 03:29:23	1
15	2014/5/28 03:58:28	1
15	2014/5/28 22:18:10	1
15	2014/5/28 22:29:33	1
15	2014/5/28 22:29:36	1
15	2014/5/28 22:30:15	1
15	2014/5/28 22:30:16	1
15	2014/5/28 23:31:32	1
15	2014/5/28 23:31:39	1
15	2014/5/29 02:33:53	1
15	2014/5/29 02:40:27	1
24	2014/5/29 10:44:27	1
25	2014/5/28 21:11:16	1
26	2014/5/28 21:25:32	1
26	2014/5/29 01:28:44	1
26	2014/5/29 01:28:45	1
27	2014/5/28 21:25:52	1
28	2014/5/28 21:44:52	1
29	2014/5/28 21:49:10	1
30	2014/5/28 21:50:29	1
31	2014/5/28 22:03:21	1
32	2014/5/28 23:39:27	1
33	2014/5/29 01:16:23	1
34	2014/5/29 02:01:03	1
35	2014/5/29 02:26:19	1
36	2014/5/29 02:28:08	1
37	2014/5/29 02:29:28	1
38	2014/5/29 02:30:21	1
39	2014/5/29 02:37:32	1
40	2014/5/29 02:40:08	1
41	2014/5/29 02:42:36	1
42	2014/5/29 02:48:05	1
43	2014/5/29 02:49:34	1
44	2014/5/29 02:50:10	1
45	2014/5/29 02:54:54	1
46	2014/5/29 02:56:02	1
47	2014/5/29 02:56:17	1
48	2014/5/29 02:57:52	1
49	2014/5/29 02:58:06	1
50	2014/5/29 02:58:49	1
51	2014/5/29 03:03:50	1
52	2014/5/29 03:04:13	1
53	2014/5/29 03:41:01	1
54	2014/5/29 03:51:55	1
55	2014/5/29 03:59:37	1
56	2014/5/29 04:01:41	1
57	2014/5/29 04:05:16	1
58	2014/5/29 04:12:17	1
