SYS_LOGONLOG_ID	LOGONID	USERID	IP	MACADDR	LOGONTIME	LOGOFFTIME	LOGONFLAG	LOGFAILEDREASON	SESSIONID
143	c7a739b0e6f811e3287bef3a716ea6da	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 14:16:32	2014/5/29 15:18:32	1		3C8BB870FB9993CEBF9D7591A561DB36
144	d4660320e6f811e3287bef3a716ea6da	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 14:16:54	2014/5/29 15:18:32	1		3C8BB870FB9993CEBF9D7591A561DB36
145	1ab26170e6f911e3d8def0acd373127e	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 14:18:52	2014/5/29 14:22:02	1		BCAA81EABA043DE090A9CF89EC279856
146	8db8f1c0e6f911e3d8def0acd373127e	bbb	0:0:0:0:0:0:0:1	macs	2014/5/29 14:22:05	2014/5/29 14:22:16	1		E65F114334AAAB46123816A2F433A41B
147	95e0f500e6f911e3d8def0acd373127e	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 14:22:18	2014/5/29 15:11:51	1		E83AB18DBDA6F3C4B135F083AD44E5C2
109	5d8c1c20e6d611e33146945efd7cb1c7	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 10:10:11	2014/5/29 10:14:08	1		5A060F60666CAE99AE65ECEA5800C703
110	3f1625a0e6d711e39946b6e7fc7dc889	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 10:16:30	2014/5/29 10:39:58	1		1FA6D4BA35DF8CAEE9E82EFC2FA343E5
111	9788f820e6d711e3e696c042163a6a4e	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 10:18:58	2014/5/29 10:19:09	1		EC83EE6CF8E8BA57E0AE788EEA6B49CC
112	cd734e90e6d711e3d6342146be986d80	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 10:20:29	2014/5/29 10:20:34	1		350F2B9B27734C889C45FE953EAD980B
113	dd2910e0e6d711e3d6342146be986d80	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 10:20:55	2014/5/29 10:20:58	1		291A287794784D87FAAAF5DB54384C7C
114	e54f3f60e6d711e3d6342146be986d80	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 10:21:09	2014/5/29 10:21:16	1		7261987008E9C670421B63DA84C9E619
115	0039f6d0e6d811e3d6342146be986d80	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 10:21:54	2014/5/29 10:39:58	1		D84B6F161A99C97BB92B66D4373C28DA
116	0e737960e6d811e3d6342146be986d80	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 10:22:18	2014/5/29 11:23:04	1		D84B6F161A99C97BB92B66D4373C28DA
117	715cb250e6e011e33ef20c095fcdddf8	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 11:22:20	2014/5/29 11:28:15	1		49FA6376210116C87BD86EE0F1E1ECDA
118	8875a140e6e011e33ef20c095fcdddf8	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 11:22:58	2014/5/29 11:28:15	1		220E181E39345DF15B458B02BF37AD98
119	9dd87bc0e6e011e33ef20c095fcdddf8	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 11:23:34	2014/5/29 11:28:15	1		220E181E39345DF15B458B02BF37AD98
120	f9eda250e6e011e33ef20c095fcdddf8	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 11:26:09	2014/5/29 11:28:15	1		220E181E39345DF15B458B02BF37AD98
121	6af41ce0e6e111e3c8f7440ca7f17c58	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 11:29:18	2014/5/29 11:36:23	1		220E181E39345DF15B458B02BF37AD98
122	be7d2730e6e111e36661fa4071a6ba44	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 11:31:38	2014/5/29 11:36:23	1		B613BEC50AE8DAA80D9F343360FBC8AB
123	468ab660e6e211e352dcbec2d5c9eab0	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 11:35:27	2014/5/29 11:36:23	1		F3233B5EA3203FB4DD1AE6EC87BBC6FD
124	966ead80e6e211e3bdfba9b6b65982a8	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 11:37:41	2014/5/29 13:08:33	1		2D23BA4DADD0FCE8F5D204A495BD45BD
125	e952c540e6e211e3a5eaaf4534fd2638	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 11:40:00	2014/5/29 13:08:33	1		E1146C1CB5F75260000FB5CF5142B7D4
126	4af67f80e6e311e3e4309966ab3b3691	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 11:42:44	2014/5/29 13:08:33	1		736124FCF644957A0EE68CCE823A8D17
127	7a7cc9d0e6e311e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1	macs	2014/5/29 11:44:03	2014/5/29 12:15:05	1		837E363F9AD738D7A5AEBB68F133EAB1
