SYS_SQLLOG_ID	SQLID	USERID	USERIP	MACADDR	SQL	STARTTIME	ENDTIME	SUCCESS	TYPE	TIMECOST
387	416871b0e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_group_id, groupname, cuserid, cdate, euserid, edate, memo from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 11:56:47	2014/5/29 11:56:47	01	01	4
388	4168bfd0e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_group_id) as count from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 11:56:47	2014/5/29 11:56:47	01	01	2
389	5ed7ff40e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_logonlog_id id, userid usercode, u.username username, ip ip, macaddr mac, logontime logontime, logofftime logofftime, logonflag logonflag, logfailedreason reason from SYS_LOGONLOG left outer join SYS_USER u on SYS_LOGONLOG.userid = u.usercode	2014/5/29 11:57:36	2014/5/29 11:57:36	01	01	5
390	5ed87470e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_logonlog_id) as count from SYS_LOGONLOG	2014/5/29 11:57:36	2014/5/29 11:57:36	01	01	2
391	f235d3c0e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_user_id as userid, usercode, username, cuserid, cdate, euserid, edate, password, isvalid,mac from SYS_USERwhere userCode = ?	2014/5/29 12:01:43	2014/5/29 12:01:43	01	01	4
392	f236be20e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_privilege_id,name,menutype,url,logflag,parentid from SYS_PRIVILEGE s where s.parentid = ? and s.menutype = '0' order by sort asc	2014/5/29 12:01:43	2014/5/29 12:01:43	01	01	3
393	f2373350e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_privilege_id,name,menutype,url,logflag,parentid from SYS_PRIVILEGE s where s.parentid = ? and s.menutype = '0' order by sort asc	2014/5/29 12:01:43	2014/5/29 12:01:43	01	01	2
394	f237a880e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_privilege_id,name,menutype,url,logflag,parentid from SYS_PRIVILEGE s where s.parentid = ? and s.menutype = '0' order by sort asc	2014/5/29 12:01:43	2014/5/29 12:01:43	01	01	2
395	f23844c0e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_privilege_id,name,menutype,url,logflag,parentid from SYS_PRIVILEGE s where s.parentid = ? and s.menutype = '0' order by sort asc	2014/5/29 12:01:43	2014/5/29 12:01:43	01	01	3
396	f2390810e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select url from SYS_PRIVILEGE	2014/5/29 12:01:43	2014/5/29 12:01:43	01	01	4
397	f3a4cd10e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_user_id,username,cuserid,cdate,euserid,edate,password,isvalid,usercode from SYS_USER  WHERE sys_user_id != 1 and isvalid != 'D'	2014/5/29 12:01:46	2014/5/29 12:01:46	01	01	3
398	f3a51b30e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_user_id) as count from SYS_USER  WHERE sys_user_id != 1 and isvalid != 'D'	2014/5/29 12:01:46	2014/5/29 12:01:46	01	01	2
399	f45187d0e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_group_id, groupname, cuserid, cdate, euserid, edate, memo from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 12:01:47	2014/5/29 12:01:47	01	01	3
400	f451d5f0e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_group_id) as count from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 12:01:47	2014/5/29 12:01:47	01	01	2
401	f4533580e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_group_id, groupname, cuserid, cdate, euserid, edate, memo from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 12:01:47	2014/5/29 12:01:47	01	01	3
402	f453aab0e6e511e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_group_id) as count from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 12:01:47	2014/5/29 12:01:47	01	01	3
403	bfe52fc0e6ee11e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_user_id as userid, usercode, username, cuserid, cdate, euserid, edate, password, isvalid,mac from SYS_USERwhere userCode = ?	2014/5/29 13:04:44	2014/5/29 13:04:44	01	01	5
404	bfe5cc00e6ee11e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_privilege_id,name,menutype,url,logflag,parentid from SYS_PRIVILEGE s where s.parentid = ? and s.menutype = '0' order by sort asc	2014/5/29 13:04:44	2014/5/29 13:04:44	01	01	2
405	bfe64130e6ee11e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_privilege_id,name,menutype,url,logflag,parentid from SYS_PRIVILEGE s where s.parentid = ? and s.menutype = '0' order by sort asc	2014/5/29 13:04:44	2014/5/29 13:04:44	01	01	3
406	bfe68f50e6ee11e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_privilege_id,name,menutype,url,logflag,parentid from SYS_PRIVILEGE s where s.parentid = ? and s.menutype = '0' order by sort asc	2014/5/29 13:04:44	2014/5/29 13:04:44	01	01	2
407	bfe70480e6ee11e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_privilege_id,name,menutype,url,logflag,parentid from SYS_PRIVILEGE s where s.parentid = ? and s.menutype = '0' order by sort asc	2014/5/29 13:04:44	2014/5/29 13:04:44	01	01	2
408	bfe779b0e6ee11e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select url from SYS_PRIVILEGE	2014/5/29 13:04:44	2014/5/29 13:04:44	01	01	3
409	c1c6e810e6ee11e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_user_id,username,cuserid,cdate,euserid,edate,password,isvalid,usercode from SYS_USER  WHERE sys_user_id != 1 and isvalid != 'D'	2014/5/29 13:04:47	2014/5/29 13:04:47	01	01	4
410	c1c75d40e6ee11e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_user_id) as count from SYS_USER  WHERE sys_user_id != 1 and isvalid != 'D'	2014/5/29 13:04:47	2014/5/29 13:04:47	01	01	2
411	c2b05db0e6ee11e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select sys_group_id, groupname, cuserid, cdate, euserid, edate, memo from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 13:04:49	2014/5/29 13:04:49	01	01	6
412	c2b0d2e0e6ee11e350d36d6d228a3858	admin	0:0:0:0:0:0:0:1		select count(sys_group_id) as count from SYS_GROUP  WHERE SYS_GROUP_ID   (select sys_group_id from SYS_USER_GROUP where SYS_USER_ID = ?)	2014/5/29 13:04:49	2014/5/29 13:04:49	01	01	3
